group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,delauney2d,100,,,1336150.0,ns,2
Build Voronoi Cells,delauney2d,100,,,2641659.0,ns,4
Build Voronoi Cells,delauney2d,100,,,3959456.0,ns,6
Build Voronoi Cells,delauney2d,100,,,5292866.0,ns,8
Build Voronoi Cells,delauney2d,100,,,6548541.0,ns,10
Build Voronoi Cells,delauney2d,100,,,7829452.0,ns,12
Build Voronoi Cells,delauney2d,100,,,9218988.0,ns,14
Build Voronoi Cells,delauney2d,100,,,10495128.0,ns,16
Build Voronoi Cells,delauney2d,100,,,11847953.0,ns,18
Build Voronoi Cells,delauney2d,100,,,13154035.0,ns,20
Build Voronoi Cells,delauney2d,100,,,14479911.0,ns,22
Build Voronoi Cells,delauney2d,100,,,15856870.0,ns,24
Build Voronoi Cells,delauney2d,100,,,17142290.0,ns,26
Build Voronoi Cells,delauney2d,100,,,18457148.0,ns,28
Build Voronoi Cells,delauney2d,100,,,19810921.0,ns,30
Build Voronoi Cells,delauney2d,100,,,21377180.0,ns,32
Build Voronoi Cells,delauney2d,100,,,22372079.0,ns,34
Build Voronoi Cells,delauney2d,100,,,23674707.0,ns,36
Build Voronoi Cells,delauney2d,100,,,25103749.0,ns,38
Build Voronoi Cells,delauney2d,100,,,26431259.0,ns,40
Build Voronoi Cells,delauney2d,100,,,27760401.0,ns,42
Build Voronoi Cells,delauney2d,100,,,29108351.0,ns,44
Build Voronoi Cells,delauney2d,100,,,30341695.0,ns,46
Build Voronoi Cells,delauney2d,100,,,31737180.0,ns,48
Build Voronoi Cells,delauney2d,100,,,32919276.0,ns,50
Build Voronoi Cells,delauney2d,100,,,34256081.0,ns,52
Build Voronoi Cells,delauney2d,100,,,35654774.0,ns,54
Build Voronoi Cells,delauney2d,100,,,37088104.0,ns,56
Build Voronoi Cells,delauney2d,100,,,38324834.0,ns,58
Build Voronoi Cells,delauney2d,100,,,39612377.0,ns,60
Build Voronoi Cells,delauney2d,100,,,40901730.0,ns,62
Build Voronoi Cells,delauney2d,100,,,42212134.0,ns,64
Build Voronoi Cells,delauney2d,100,,,43537933.0,ns,66
Build Voronoi Cells,delauney2d,100,,,44886585.0,ns,68
Build Voronoi Cells,delauney2d,100,,,46185068.0,ns,70
Build Voronoi Cells,delauney2d,100,,,47568364.0,ns,72
Build Voronoi Cells,delauney2d,100,,,48889748.0,ns,74
Build Voronoi Cells,delauney2d,100,,,50284902.0,ns,76
Build Voronoi Cells,delauney2d,100,,,51492343.0,ns,78
Build Voronoi Cells,delauney2d,100,,,52814086.0,ns,80
Build Voronoi Cells,delauney2d,100,,,54171659.0,ns,82
Build Voronoi Cells,delauney2d,100,,,55319657.0,ns,84
Build Voronoi Cells,delauney2d,100,,,56751865.0,ns,86
Build Voronoi Cells,delauney2d,100,,,58030702.0,ns,88
Build Voronoi Cells,delauney2d,100,,,59382332.0,ns,90
Build Voronoi Cells,delauney2d,100,,,60685965.0,ns,92
Build Voronoi Cells,delauney2d,100,,,62112204.0,ns,94
Build Voronoi Cells,delauney2d,100,,,63342088.0,ns,96
Build Voronoi Cells,delauney2d,100,,,64630386.0,ns,98
Build Voronoi Cells,delauney2d,100,,,65978721.0,ns,100
Build Voronoi Cells,delauney2d,100,,,67492183.0,ns,102
Build Voronoi Cells,delauney2d,100,,,68659015.0,ns,104
Build Voronoi Cells,delauney2d,100,,,69976990.0,ns,106
Build Voronoi Cells,delauney2d,100,,,71283045.0,ns,108
Build Voronoi Cells,delauney2d,100,,,72805263.0,ns,110
Build Voronoi Cells,delauney2d,100,,,74055635.0,ns,112
Build Voronoi Cells,delauney2d,100,,,75210712.0,ns,114
Build Voronoi Cells,delauney2d,100,,,76451144.0,ns,116
Build Voronoi Cells,delauney2d,100,,,77945049.0,ns,118
Build Voronoi Cells,delauney2d,100,,,79283807.0,ns,120
Build Voronoi Cells,delauney2d,100,,,80421257.0,ns,122
Build Voronoi Cells,delauney2d,100,,,81712147.0,ns,124
Build Voronoi Cells,delauney2d,100,,,83217059.0,ns,126
Build Voronoi Cells,delauney2d,100,,,84400381.0,ns,128
Build Voronoi Cells,delauney2d,100,,,85909547.0,ns,130
Build Voronoi Cells,delauney2d,100,,,87224286.0,ns,132
Build Voronoi Cells,delauney2d,100,,,88519124.0,ns,134
Build Voronoi Cells,delauney2d,100,,,89749714.0,ns,136
Build Voronoi Cells,delauney2d,100,,,91112044.0,ns,138
Build Voronoi Cells,delauney2d,100,,,92402370.0,ns,140
Build Voronoi Cells,delauney2d,100,,,93808371.0,ns,142
Build Voronoi Cells,delauney2d,100,,,95152518.0,ns,144
Build Voronoi Cells,delauney2d,100,,,96377401.0,ns,146
Build Voronoi Cells,delauney2d,100,,,97650383.0,ns,148
Build Voronoi Cells,delauney2d,100,,,98995380.0,ns,150
Build Voronoi Cells,delauney2d,100,,,100481101.0,ns,152
Build Voronoi Cells,delauney2d,100,,,101917168.0,ns,154
Build Voronoi Cells,delauney2d,100,,,102787024.0,ns,156
Build Voronoi Cells,delauney2d,100,,,104114858.0,ns,158
Build Voronoi Cells,delauney2d,100,,,105771396.0,ns,160
Build Voronoi Cells,delauney2d,100,,,106814801.0,ns,162
Build Voronoi Cells,delauney2d,100,,,108546149.0,ns,164
Build Voronoi Cells,delauney2d,100,,,110058732.0,ns,166
Build Voronoi Cells,delauney2d,100,,,111203827.0,ns,168
Build Voronoi Cells,delauney2d,100,,,112541885.0,ns,170
Build Voronoi Cells,delauney2d,100,,,114111859.0,ns,172
Build Voronoi Cells,delauney2d,100,,,115190058.0,ns,174
Build Voronoi Cells,delauney2d,100,,,116642580.0,ns,176
Build Voronoi Cells,delauney2d,100,,,117827672.0,ns,178
Build Voronoi Cells,delauney2d,100,,,119115801.0,ns,180
Build Voronoi Cells,delauney2d,100,,,120520356.0,ns,182
Build Voronoi Cells,delauney2d,100,,,121933065.0,ns,184
Build Voronoi Cells,delauney2d,100,,,123319875.0,ns,186
Build Voronoi Cells,delauney2d,100,,,124607251.0,ns,188
Build Voronoi Cells,delauney2d,100,,,125826606.0,ns,190
Build Voronoi Cells,delauney2d,100,,,127378880.0,ns,192
Build Voronoi Cells,delauney2d,100,,,128668246.0,ns,194
Build Voronoi Cells,delauney2d,100,,,129441543.0,ns,196
Build Voronoi Cells,delauney2d,100,,,131273985.0,ns,198
Build Voronoi Cells,delauney2d,100,,,132470599.0,ns,200
