group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,delauney2d,1000,,,74602221.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74410121.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74446263.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74453289.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74298304.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74487169.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74323793.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74451788.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74473382.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74345873.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74218626.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74427459.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74481642.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74400397.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74691740.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74514449.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74462312.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74434797.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74368697.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74397721.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74216448.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74284932.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74089885.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74312023.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74310883.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74567657.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74223493.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74358657.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74427709.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74417423.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74493189.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74392810.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74479374.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74326682.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74375747.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74385336.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74484386.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,84364624.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74498189.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74474594.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74448157.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74232708.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74264763.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74392016.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74375585.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74365020.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74457459.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74408623.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74563279.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74297795.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74291922.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74564226.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74322626.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74512858.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74482802.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74418764.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74377606.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74417306.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74403789.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74378222.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74466345.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74515448.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74383939.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74231219.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74429046.0,ns,2
Build Voronoi Cells,delauney2d,1000,,,74496866.0,ns,2
