group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronator,100000,,,89786210.0,ns,1
Build Voronoi Cells,voronator,100000,,,88607192.0,ns,1
Build Voronoi Cells,voronator,100000,,,87862976.0,ns,1
Build Voronoi Cells,voronator,100000,,,88374933.0,ns,1
Build Voronoi Cells,voronator,100000,,,88426403.0,ns,1
Build Voronoi Cells,voronator,100000,,,88401333.0,ns,1
Build Voronoi Cells,voronator,100000,,,88279218.0,ns,1
Build Voronoi Cells,voronator,100000,,,87905847.0,ns,1
Build Voronoi Cells,voronator,100000,,,88252004.0,ns,1
Build Voronoi Cells,voronator,100000,,,87809195.0,ns,1
Build Voronoi Cells,voronator,100000,,,86358352.0,ns,1
Build Voronoi Cells,voronator,100000,,,87954860.0,ns,1
Build Voronoi Cells,voronator,100000,,,89829105.0,ns,1
Build Voronoi Cells,voronator,100000,,,88398635.0,ns,1
Build Voronoi Cells,voronator,100000,,,87667066.0,ns,1
Build Voronoi Cells,voronator,100000,,,88078216.0,ns,1
Build Voronoi Cells,voronator,100000,,,88645107.0,ns,1
Build Voronoi Cells,voronator,100000,,,88279474.0,ns,1
Build Voronoi Cells,voronator,100000,,,87503184.0,ns,1
Build Voronoi Cells,voronator,100000,,,87768556.0,ns,1
Build Voronoi Cells,voronator,100000,,,87693171.0,ns,1
Build Voronoi Cells,voronator,100000,,,88231626.0,ns,1
Build Voronoi Cells,voronator,100000,,,88539342.0,ns,1
Build Voronoi Cells,voronator,100000,,,87504572.0,ns,1
Build Voronoi Cells,voronator,100000,,,89559373.0,ns,1
Build Voronoi Cells,voronator,100000,,,88811871.0,ns,1
Build Voronoi Cells,voronator,100000,,,88187499.0,ns,1
Build Voronoi Cells,voronator,100000,,,87318801.0,ns,1
Build Voronoi Cells,voronator,100000,,,87817643.0,ns,1
Build Voronoi Cells,voronator,100000,,,87880499.0,ns,1
Build Voronoi Cells,voronator,100000,,,87627219.0,ns,1
Build Voronoi Cells,voronator,100000,,,87755248.0,ns,1
Build Voronoi Cells,voronator,100000,,,87741143.0,ns,1
Build Voronoi Cells,voronator,100000,,,86671479.0,ns,1
Build Voronoi Cells,voronator,100000,,,88288217.0,ns,1
Build Voronoi Cells,voronator,100000,,,102893389.0,ns,1
Build Voronoi Cells,voronator,100000,,,87710146.0,ns,1
Build Voronoi Cells,voronator,100000,,,88289972.0,ns,1
Build Voronoi Cells,voronator,100000,,,87410487.0,ns,1
Build Voronoi Cells,voronator,100000,,,86205614.0,ns,1
Build Voronoi Cells,voronator,100000,,,86598634.0,ns,1
Build Voronoi Cells,voronator,100000,,,87553116.0,ns,1
Build Voronoi Cells,voronator,100000,,,88569738.0,ns,1
Build Voronoi Cells,voronator,100000,,,87284953.0,ns,1
Build Voronoi Cells,voronator,100000,,,87716913.0,ns,1
Build Voronoi Cells,voronator,100000,,,87161715.0,ns,1
Build Voronoi Cells,voronator,100000,,,87561650.0,ns,1
Build Voronoi Cells,voronator,100000,,,87750112.0,ns,1
Build Voronoi Cells,voronator,100000,,,86815768.0,ns,1
Build Voronoi Cells,voronator,100000,,,87445977.0,ns,1
Build Voronoi Cells,voronator,100000,,,86025419.0,ns,1
Build Voronoi Cells,voronator,100000,,,89853798.0,ns,1
Build Voronoi Cells,voronator,100000,,,86306296.0,ns,1
Build Voronoi Cells,voronator,100000,,,87668816.0,ns,1
Build Voronoi Cells,voronator,100000,,,86414187.0,ns,1
Build Voronoi Cells,voronator,100000,,,86560225.0,ns,1
Build Voronoi Cells,voronator,100000,,,86632137.0,ns,1
Build Voronoi Cells,voronator,100000,,,86757694.0,ns,1
Build Voronoi Cells,voronator,100000,,,86317108.0,ns,1
Build Voronoi Cells,voronator,100000,,,86388279.0,ns,1
Build Voronoi Cells,voronator,100000,,,88011333.0,ns,1
Build Voronoi Cells,voronator,100000,,,86075422.0,ns,1
Build Voronoi Cells,voronator,100000,,,86144942.0,ns,1
Build Voronoi Cells,voronator,100000,,,86376739.0,ns,1
Build Voronoi Cells,voronator,100000,,,87315995.0,ns,1
Build Voronoi Cells,voronator,100000,,,86476311.0,ns,1
Build Voronoi Cells,voronator,100000,,,87591242.0,ns,1
Build Voronoi Cells,voronator,100000,,,86968104.0,ns,1
Build Voronoi Cells,voronator,100000,,,86149874.0,ns,1
Build Voronoi Cells,voronator,100000,,,86481117.0,ns,1
Build Voronoi Cells,voronator,100000,,,87785149.0,ns,1
Build Voronoi Cells,voronator,100000,,,88394015.0,ns,1
Build Voronoi Cells,voronator,100000,,,87499025.0,ns,1
Build Voronoi Cells,voronator,100000,,,87730644.0,ns,1
Build Voronoi Cells,voronator,100000,,,89807027.0,ns,1
Build Voronoi Cells,voronator,100000,,,88097946.0,ns,1
Build Voronoi Cells,voronator,100000,,,88126925.0,ns,1
Build Voronoi Cells,voronator,100000,,,86513964.0,ns,1
Build Voronoi Cells,voronator,100000,,,87298499.0,ns,1
Build Voronoi Cells,voronator,100000,,,86165177.0,ns,1
Build Voronoi Cells,voronator,100000,,,87569594.0,ns,1
Build Voronoi Cells,voronator,100000,,,88551385.0,ns,1
Build Voronoi Cells,voronator,100000,,,86518804.0,ns,1
Build Voronoi Cells,voronator,100000,,,87844738.0,ns,1
Build Voronoi Cells,voronator,100000,,,86584564.0,ns,1
Build Voronoi Cells,voronator,100000,,,87001204.0,ns,1
Build Voronoi Cells,voronator,100000,,,85971660.0,ns,1
Build Voronoi Cells,voronator,100000,,,88304335.0,ns,1
Build Voronoi Cells,voronator,100000,,,87022167.0,ns,1
Build Voronoi Cells,voronator,100000,,,86405689.0,ns,1
Build Voronoi Cells,voronator,100000,,,87218795.0,ns,1
Build Voronoi Cells,voronator,100000,,,87802080.0,ns,1
Build Voronoi Cells,voronator,100000,,,87315881.0,ns,1
Build Voronoi Cells,voronator,100000,,,87845465.0,ns,1
Build Voronoi Cells,voronator,100000,,,87501341.0,ns,1
Build Voronoi Cells,voronator,100000,,,86310179.0,ns,1
Build Voronoi Cells,voronator,100000,,,87115276.0,ns,1
Build Voronoi Cells,voronator,100000,,,86910950.0,ns,1
Build Voronoi Cells,voronator,100000,,,89020888.0,ns,1
Build Voronoi Cells,voronator,100000,,,88938485.0,ns,1
