group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronator,2000000,,,2595210709.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2603027069.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2583700725.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2591117615.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2610683610.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2577164192.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2579420201.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2604145833.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2614116620.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2575178778.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2604289922.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2586335553.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2572633049.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2598727457.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2577838576.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2621895046.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2577878474.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2611505345.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2586800104.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2600212736.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2599694078.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2591788318.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2593627716.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2574014569.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2576444012.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2609590613.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2590874898.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2613846589.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2601763385.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2606939653.0,ns,1
Build Voronoi Cells,voronator,2000000,,,2600932790.0,ns,1
