group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronoi,1000,,,1858433.0,ns,1
Build Voronoi Cells,voronoi,1000,,,3730129.0,ns,2
Build Voronoi Cells,voronoi,1000,,,5604762.0,ns,3
Build Voronoi Cells,voronoi,1000,,,7494017.0,ns,4
Build Voronoi Cells,voronoi,1000,,,9382077.0,ns,5
Build Voronoi Cells,voronoi,1000,,,11236962.0,ns,6
Build Voronoi Cells,voronoi,1000,,,13057349.0,ns,7
Build Voronoi Cells,voronoi,1000,,,14963246.0,ns,8
Build Voronoi Cells,voronoi,1000,,,16861031.0,ns,9
Build Voronoi Cells,voronoi,1000,,,18697002.0,ns,10
Build Voronoi Cells,voronoi,1000,,,20477713.0,ns,11
Build Voronoi Cells,voronoi,1000,,,22344137.0,ns,12
Build Voronoi Cells,voronoi,1000,,,24261540.0,ns,13
Build Voronoi Cells,voronoi,1000,,,26119571.0,ns,14
Build Voronoi Cells,voronoi,1000,,,27891332.0,ns,15
Build Voronoi Cells,voronoi,1000,,,29865943.0,ns,16
Build Voronoi Cells,voronoi,1000,,,31745332.0,ns,17
Build Voronoi Cells,voronoi,1000,,,33621359.0,ns,18
Build Voronoi Cells,voronoi,1000,,,35488135.0,ns,19
Build Voronoi Cells,voronoi,1000,,,37326160.0,ns,20
Build Voronoi Cells,voronoi,1000,,,39058313.0,ns,21
Build Voronoi Cells,voronoi,1000,,,40936228.0,ns,22
Build Voronoi Cells,voronoi,1000,,,42867514.0,ns,23
Build Voronoi Cells,voronoi,1000,,,44681159.0,ns,24
Build Voronoi Cells,voronoi,1000,,,46604662.0,ns,25
Build Voronoi Cells,voronoi,1000,,,48427102.0,ns,26
Build Voronoi Cells,voronoi,1000,,,50350194.0,ns,27
Build Voronoi Cells,voronoi,1000,,,52155466.0,ns,28
Build Voronoi Cells,voronoi,1000,,,54074829.0,ns,29
Build Voronoi Cells,voronoi,1000,,,55855003.0,ns,30
Build Voronoi Cells,voronoi,1000,,,57828639.0,ns,31
Build Voronoi Cells,voronoi,1000,,,59708321.0,ns,32
Build Voronoi Cells,voronoi,1000,,,61515451.0,ns,33
Build Voronoi Cells,voronoi,1000,,,63480526.0,ns,34
Build Voronoi Cells,voronoi,1000,,,65274586.0,ns,35
Build Voronoi Cells,voronoi,1000,,,67154967.0,ns,36
Build Voronoi Cells,voronoi,1000,,,69019464.0,ns,37
Build Voronoi Cells,voronoi,1000,,,70950646.0,ns,38
Build Voronoi Cells,voronoi,1000,,,72744881.0,ns,39
Build Voronoi Cells,voronoi,1000,,,74445626.0,ns,40
Build Voronoi Cells,voronoi,1000,,,76334542.0,ns,41
Build Voronoi Cells,voronoi,1000,,,78129012.0,ns,42
Build Voronoi Cells,voronoi,1000,,,79960605.0,ns,43
Build Voronoi Cells,voronoi,1000,,,81880437.0,ns,44
Build Voronoi Cells,voronoi,1000,,,83668350.0,ns,45
Build Voronoi Cells,voronoi,1000,,,85748835.0,ns,46
Build Voronoi Cells,voronoi,1000,,,87330078.0,ns,47
Build Voronoi Cells,voronoi,1000,,,89290428.0,ns,48
Build Voronoi Cells,voronoi,1000,,,91225849.0,ns,49
Build Voronoi Cells,voronoi,1000,,,92997464.0,ns,50
Build Voronoi Cells,voronoi,1000,,,94931837.0,ns,51
Build Voronoi Cells,voronoi,1000,,,96720316.0,ns,52
Build Voronoi Cells,voronoi,1000,,,98781173.0,ns,53
Build Voronoi Cells,voronoi,1000,,,100528228.0,ns,54
Build Voronoi Cells,voronoi,1000,,,102420541.0,ns,55
Build Voronoi Cells,voronoi,1000,,,104249524.0,ns,56
Build Voronoi Cells,voronoi,1000,,,106094446.0,ns,57
Build Voronoi Cells,voronoi,1000,,,107918528.0,ns,58
Build Voronoi Cells,voronoi,1000,,,109923745.0,ns,59
Build Voronoi Cells,voronoi,1000,,,111655488.0,ns,60
Build Voronoi Cells,voronoi,1000,,,113636955.0,ns,61
Build Voronoi Cells,voronoi,1000,,,115319022.0,ns,62
Build Voronoi Cells,voronoi,1000,,,117160890.0,ns,63
Build Voronoi Cells,voronoi,1000,,,119103262.0,ns,64
Build Voronoi Cells,voronoi,1000,,,120966401.0,ns,65
Build Voronoi Cells,voronoi,1000,,,122629075.0,ns,66
Build Voronoi Cells,voronoi,1000,,,124676361.0,ns,67
Build Voronoi Cells,voronoi,1000,,,126610123.0,ns,68
Build Voronoi Cells,voronoi,1000,,,128370419.0,ns,69
Build Voronoi Cells,voronoi,1000,,,130417739.0,ns,70
Build Voronoi Cells,voronoi,1000,,,132233620.0,ns,71
Build Voronoi Cells,voronoi,1000,,,142822956.0,ns,72
Build Voronoi Cells,voronoi,1000,,,135780622.0,ns,73
Build Voronoi Cells,voronoi,1000,,,137846893.0,ns,74
Build Voronoi Cells,voronoi,1000,,,139523340.0,ns,75
Build Voronoi Cells,voronoi,1000,,,141469907.0,ns,76
Build Voronoi Cells,voronoi,1000,,,143336276.0,ns,77
Build Voronoi Cells,voronoi,1000,,,145405874.0,ns,78
Build Voronoi Cells,voronoi,1000,,,147270386.0,ns,79
Build Voronoi Cells,voronoi,1000,,,149076241.0,ns,80
Build Voronoi Cells,voronoi,1000,,,151022621.0,ns,81
Build Voronoi Cells,voronoi,1000,,,153076076.0,ns,82
Build Voronoi Cells,voronoi,1000,,,154919834.0,ns,83
Build Voronoi Cells,voronoi,1000,,,156602740.0,ns,84
Build Voronoi Cells,voronoi,1000,,,159138834.0,ns,85
Build Voronoi Cells,voronoi,1000,,,160674743.0,ns,86
Build Voronoi Cells,voronoi,1000,,,162509136.0,ns,87
Build Voronoi Cells,voronoi,1000,,,164478107.0,ns,88
Build Voronoi Cells,voronoi,1000,,,166021066.0,ns,89
Build Voronoi Cells,voronoi,1000,,,167986041.0,ns,90
Build Voronoi Cells,voronoi,1000,,,170617685.0,ns,91
Build Voronoi Cells,voronoi,1000,,,172298071.0,ns,92
Build Voronoi Cells,voronoi,1000,,,174386848.0,ns,93
Build Voronoi Cells,voronoi,1000,,,176324560.0,ns,94
Build Voronoi Cells,voronoi,1000,,,177815863.0,ns,95
Build Voronoi Cells,voronoi,1000,,,179888978.0,ns,96
Build Voronoi Cells,voronoi,1000,,,181870465.0,ns,97
Build Voronoi Cells,voronoi,1000,,,184178210.0,ns,98
Build Voronoi Cells,voronoi,1000,,,185926962.0,ns,99
Build Voronoi Cells,voronoi,1000,,,186772613.0,ns,100
