group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronoice,10000,,,48323336.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47962190.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48220357.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47756024.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48132536.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47793573.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47833371.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48014003.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47766557.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47724055.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47933931.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47865925.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47663176.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47776812.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47639392.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48018587.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47914856.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48183919.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47740291.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47977470.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47728246.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47997202.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47676474.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47827687.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47847295.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47610944.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47770479.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47940251.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48180635.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47917561.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47853937.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48090975.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48088585.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47992309.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47962165.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48099876.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48104651.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47812789.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47584037.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47628882.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48080207.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47994560.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47798672.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47732318.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47918235.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47859566.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47640198.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48047350.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47808062.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48282763.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47637018.0,ns,8
Build Voronoi Cells,voronoice,10000,,,51083064.0,ns,8
Build Voronoi Cells,voronoice,10000,,,53114137.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48037535.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47691272.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47798233.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48121650.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48098708.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47976533.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47895342.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47802275.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47709208.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48017259.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47772632.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47831239.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47623820.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47995936.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47650168.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48238778.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47566567.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47788712.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47928530.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47798245.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47563834.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47651940.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47765120.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48034787.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47942262.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48185359.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48082150.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48018044.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47773128.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47868070.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47760201.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47635407.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48046152.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48150848.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47524423.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48027682.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47933933.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47806028.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47503432.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47934804.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47876777.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47857736.0,ns,8
Build Voronoi Cells,voronoice,10000,,,48237136.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47472921.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47463694.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47725618.0,ns,8
Build Voronoi Cells,voronoice,10000,,,47935578.0,ns,8
