group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronoice,100000,,,84389369.0,ns,1
Build Voronoi Cells,voronoice,100000,,,86485559.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84204639.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84411158.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84141360.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83318952.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84009371.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83723077.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83871184.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84697711.0,ns,1
Build Voronoi Cells,voronoice,100000,,,86167980.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84424828.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83529531.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83919191.0,ns,1
Build Voronoi Cells,voronoice,100000,,,86288892.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83199472.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83093724.0,ns,1
Build Voronoi Cells,voronoice,100000,,,85885435.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83812702.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84191389.0,ns,1
Build Voronoi Cells,voronoice,100000,,,85832070.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83994135.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83452909.0,ns,1
Build Voronoi Cells,voronoice,100000,,,85931466.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83262475.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83912467.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83911240.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84428515.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83762326.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83452971.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83505661.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84596243.0,ns,1
Build Voronoi Cells,voronoice,100000,,,85871117.0,ns,1
Build Voronoi Cells,voronoice,100000,,,86052108.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83694993.0,ns,1
Build Voronoi Cells,voronoice,100000,,,82926034.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84025734.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84011653.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83956385.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83853479.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83814836.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84518969.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83308858.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84294159.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84355104.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83230462.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83135906.0,ns,1
Build Voronoi Cells,voronoice,100000,,,85972272.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83263028.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83144466.0,ns,1
Build Voronoi Cells,voronoice,100000,,,86007056.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83860266.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83934212.0,ns,1
Build Voronoi Cells,voronoice,100000,,,86147467.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84388826.0,ns,1
Build Voronoi Cells,voronoice,100000,,,86041646.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84529774.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83504517.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83577817.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84118582.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84075870.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83913396.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84515867.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83201150.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83736884.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84448712.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84401636.0,ns,1
Build Voronoi Cells,voronoice,100000,,,86336341.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83717216.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83720893.0,ns,1
Build Voronoi Cells,voronoice,100000,,,82739200.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83176906.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83884279.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83129752.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84505505.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84318496.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84071912.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84685765.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83831305.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83332752.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83884670.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83955774.0,ns,1
Build Voronoi Cells,voronoice,100000,,,97366053.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83873672.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84425651.0,ns,1
Build Voronoi Cells,voronoice,100000,,,86014256.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83393770.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83818819.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83804733.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84574369.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84115143.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83403650.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84566590.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83887921.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83487987.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84250974.0,ns,1
Build Voronoi Cells,voronoice,100000,,,84001870.0,ns,1
Build Voronoi Cells,voronoice,100000,,,85788502.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83944411.0,ns,1
Build Voronoi Cells,voronoice,100000,,,83124588.0,ns,1
